Year,World rank,Company,Country,Region,ISO3 Code,ICB3 short,ICB3 long,R&D (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),R&D-to-capex ratio (%),Operating profit (€million),Operating profit one-year growth (%),Profitability (%),Market capitalisation (€million),Market capitalisation one-year growth (%),Employees,Employees one-year growth (%),
2024,37,BYD COMPANY LIMITED,China,China,CHN,Automobiles & Parts,Automobiles & Parts,6673.75,35.57,102475.50,29.02,6.51,12838.71,-20.26,12.53,51.98,6500.03,42.83,6.34,43330.46,42.54,968900,37.73,
2024,38,INTERNATIONAL BUSINESS MACHINES CORP,US,US,USA,ICT services,Software & Computer Services,6556.94,16.29,60403.31,1.44,10.86,1008.76,-15.82,1.67,650.00,7426.12,-18.40,12.29,195653.90,36.96,293400,-3.90,
2024,39,SIEMENS AG,Germany,EU,DEU,ICT producers,Electronic & Electrical Equipment,6482.00,-0.03,78811.00,1.34,8.22,2088.00,-5.86,2.65,310.44,9608.00,3.95,12.19,145600.00,34.52,327000,2.19,
2024,40,ADVANCED MICRO DEVICES INC,US,US,USA,ICT producers,Technology Hardware & Equipment,6214.27,9.95,24819.52,13.69,25.04,612.19,16.48,2.47,1015.09,2007.89,430.79,8.09,188679.36,-16.37,28000,7.69,
2024,41,"TAIWAN SEMICONDUCTOR MANUFACTURING CO., LTD.",Taiwan,ROW,TWN,ICT producers,Technology Hardware & Equipment,6023.08,11.96,85378.06,33.89,7.05,31937.32,13.99,37.41,18.86,36781.49,42.60,43.08,818579.78,80.45,83825,9.61,
2024,42,CHINA STATE CONSTRUCTION ENGINEERING CORPORATION LIMITED,China,China,CHN,Construction & Materials,Construction & Materials,5989.45,-1.31,288416.37,-3.46,2.08,2611.62,-41.85,0.91,229.34,12851.33,-12.42,4.46,32693.91,24.74,361249,-5.65,
2024,43,C.B. BOEHRINGER SOHN AG & CO. KG,Germany,EU,DEU,Health industries,Pharmaceuticals & Biotechnology,5766.00,14.25,25611.00,6.05,22.51,1043.00,2.15,4.07,552.83,5516.00,15.64,21.54,,,53565,0.77,
2024,44,AMGEN INCORPORATED,US,US,USA,Health industries,Pharmaceuticals & Biotechnology,5740.69,25.43,32172.49,18.57,17.84,1054.96,-1.44,3.28,544.16,6986.24,-8.09,21.71,134856.67,-8.54,28000,4.87,
2024,45,GILEAD SCIENCES INC,US,US,USA,Health industries,Pharmaceuticals & Biotechnology,5591.49,1.95,27677.35,6.04,20.20,503.42,-10.60,1.82,1110.71,1780.73,-75.67,6.43,110807.23,14.76,17600,-2.22,
2024,46,SAP SE,Germany,EU,DEU,ICT services,Software & Computer Services,5317.00,-15.36,34176.00,9.51,15.56,797.00,1.53,2.33,667.13,7809.00,29.85,22.85,290172.70,69.20,109121,1.41,
2024,47,SALESFORCE INC,US,US,USA,ICT services,Software & Computer Services,5287.32,11.96,36476.08,8.72,14.50,633.36,-10.60,1.74,834.80,6491.48,34.58,17.80,314641.48,18.56,76453,5.19,
2024,48,NOVO NORDISK A/S,Denmark,EU,DNK,Health industries,Pharmaceuticals & Biotechnology,5098.15,29.44,38939.50,25.03,13.09,6324.12,82.76,16.24,80.61,17208.69,25.12,44.19,285162.07,-11.32,77349,20.26,
